,accessionmethod,accessionyear,accesslevel,century,classification,classificationid,colorcount,commentary,contact,contextualtextcount,copyright,creditline,culture,datebegin,dated,dateend,dateoffirstpageview,dateoflastpageview,department,description,dimensions,division,edition,exhibitioncount,groupcount,id,imagecount,imagepermissionlevel,labeltext,lastupdate,markscount,mediacount,medium,objectid,objectnumber,people,peoplecount,period,periodid,primaryimageurl,provenance,publicationcount,rank,relatedcount,signed,standardreferencenumber,state,style,technique,techniqueid,title,titlescount,totalpageviews,totaluniquepageviews,url,verificationlevel,verificationleveldescription
10,,,1,5th-4th century BCE,Vessels,57,0,,,0,,"Paris, Musée du Louvre, Départment des Antiquités  Égyptiennes",Egyptian,-505,5th-4th century BCE,-294,2018-08-16,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,10.5 × 7 × 15.5 cm (4 1/8 × 2 3/4 × 6 1/8 in.),,,1,0,356348,1,0,,2018-11-06T04:29:46-0500,0,0,Faience,356348,TL41963.2,,0,Achaemenid period,3247.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267732,,0,267037,0,,,,,,,Rhyton forepart in the shape of a lion with prey,1,14,13,https://www.harvardartmuseums.org/collections/object/356348,0,Unchecked. Object information has not been verified for completeness and has not been vetted
11,,,1,6th century BCE,Vessels,57,0,,,0,,"Staatliche Museen zu Berlin, Antikensammlung",Greek,-575,mid-6th century BCE,-525,2018-08-20,2018-11-05,Department of Ancient and Byzantine Art & Numismatics,,13 × 19.5 cm (5 1/8 × 7 11/16 in.),,,1,0,356458,1,0,,2018-11-06T04:29:47-0500,0,0,Bronze,356458,TL41965.2,,0,Archaic period,928.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267738,,0,267043,0,,,,,,,Man with drinking horn reclining on a wineskin,1,16,11,https://www.harvardartmuseums.org/collections/object/356458,0,Unchecked. Object information has not been verified for completeness and has not been vetted
12,,,1,3rd century CE,Architectural Elements,133,0,,,0,,"Museum of Fine Arts, Boston. Charles Amos Cummings Fund",Gandharan,195,3rd century CE,305,2018-09-06,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,124 × 38.4 × 10.2 cm (48 13/16 × 15 1/8 × 4 in.),,,1,0,359488,1,0,,2018-11-06T04:30:15-0500,0,0,Schist,359488,TL41961.8,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267726,,0,267031,0,,,,,,,Door jamb with relief decoration,1,4,3,https://www.harvardartmuseums.org/collections/object/359488,0,Unchecked. Object information has not been verified for completeness and has not been vetted
13,,,1,20th-19th century BCE,Vessels,57,0,,,0,,"Paris, Musée du Louvre, Départment des Antiquités Orientales",Assyrian,-2005,2nd millenium BCE,-995,2018-08-07,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,20.5 × 21.5 cm (8 1/16 × 8 7/16 in.),,,1,0,359492,1,0,,2018-11-06T04:30:15-0500,0,0,Painted terracotta,359492,TL41963.5,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267735,,0,267040,0,,,,,,,Lion BIBRÛ,1,14,12,https://www.harvardartmuseums.org/collections/object/359492,0,Unchecked. Object information has not been verified for completeness and has not been vetted
14,Gift,2003.0,1,11th-12th century,Vessels,57,10,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Ann B. Goodman and Arthur B. Pardee",Persian,0,11th-12th century,0,2009-10-03,2018-10-30,Department of Islamic & Later Indian Art,"This ewer features a squat, high-hipped body, atop a hollow foot ring. The neck tapers to a spout in the shape of an animal head. The head is crowned by horns that curve into circles. A small handle curves from the back of the animal head to a second and simpler spout, that presumably made it easier to fill the ewer and pour from it. Surface decoration is both carved (incised lines on the horns) and molded (segment lines and arabesques on the body). Small scrolling lines within the segments echo the shape of the horns. Except for the foot ring, the ewer is covered in translucent cobalt-blue glaze.",H: 25 x Diam: 16.2 cm (9 13/16 x 6 3/8 in.),Asian and Mediterranean Art,,3,1,176582,4,0,"As central control weakened in the Abbasid Empire, regional dynasties arose to support, challenge, or redefine the authority of the caliph in Baghdad. The arts flourished in many centers, and wealthy merchant and professional classes emerged. A dramatic increase in productivity and innovation and an unprecedented expansion of figural decoration characterize the arts of this period.
A transforming event was the influx of Turkic and Mongol peoples from Central and Inner Asia. Most of the objects in this case were created in lands ruled by the most important of the Turkic dynasties, the Great Seljuks (1038–1157), and their immediate successors, the Atabegs. The Mongol invasions into Islamic lands began in the early 1200s and culminated in the 1258 sack of Baghdad. Eventually, the Mongols established their rule as the Yuan dynasty in China, the Chagatay Khanate in Central Asia, the Golden Horde Khanate in southern Russia, and the Ilkhanid dynasty (1256–1335) in greater Iran. The integration of a vast Eurasian territory into the Mongol Empire facilitated commerce and communication, bringing fresh Chinese inspiration into Islamic art.",2018-11-06T03:57:35-0500,0,0,Fritware with molded decoration under monochrome blue glaze,176582,2003.165,,0,Seljuk-Atabeg period,6836.0,https://nrs.harvard.edu/urn-3:HUAM:764514,"Ann B. Goodman and Arthur B. Pardee, Cambridge, MA, (by 2003), gift; to Harvard University Art Museums, 2003.",2,122175,0,,,,,,,Animal head pitcher,1,217,175,https://www.harvardartmuseums.org/collections/object/176582,2,Adequate. Object is adequately described but information may not be vetted
15,Gift,1926.0,1,20th century,Vessels,57,0,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mrs. Schuyler Van Rensselaer",Minoan,1900,Early 20th century (reproduction of ca. 1625-1470 BCE original),1926,2009-11-02,2018-11-03,Department of Ancient and Byzantine Art & Numismatics,"Reproduction of original serpentinite bull head rhyton with shell, crystal, and jasper inlays. The original was found in the 'Little Palace' at Knossos, and is now in the Herakleion Archaeological Museum. (HM 1368, HM 1550)

For information on the original see Robert B. Koehl, Aegean Bronze Age Rhyta (Philadelphia, 2006), cat. 307, p. 118.",38.8 × 26.5 × 18.5 cm (15 1/4 × 10 7/16 × 7 5/16 in.),Asian and Mediterranean Art,,1,0,292009,1,0,,2018-11-06T04:19:18-0500,0,0,Polychrome plaster,292009,1926.32.3,,0,"Minoan period, Late Minoan IB",7045.0,https://nrs.harvard.edu/urn-3:HUAM:INV038414_dynmc,,0,51285,0,,,,,,,Reproduction of the bull head rhyton from the Little Palace at Knossos,1,72,60,https://www.harvardartmuseums.org/collections/object/292009,0,Unchecked. Object information has not been verified for completeness and has not been vetted
16,,,1,4th century CE,Vessels,57,0,,,0,,"Arthur M. Sackler Gallery, Smithsonian Institution; Gift of Arthur M. Sackler   S1987.33",Sasanian,-405,4th century BCE,-295,2018-07-23,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,"15.5 × 25.4 × 14.1 cm, 599 g (6 1/8 × 10 × 5 9/16 in.)",,,1,0,355852,1,0,,2018-11-06T04:29:41-0500,0,0,"Silver, partially gilded",355852,TL41949.1,,0,Sasanian period,1394.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261079,,0,266984,0,,,,,,,Rhyton with the head of a gazelle,1,26,24,https://www.harvardartmuseums.org/collections/object/355852,0,Unchecked. Object information has not been verified for completeness and has not been vetted
17,,,1,5th-4th century BCE,Vessels,57,0,,,0,,"British Museum, Bequest of Sir Augustus Wollaston Franks, 1897,1231.178",Achaemenid,-505,5th-4th century BCE,-295,2018-07-23,2018-11-05,Department of Ancient and Byzantine Art & Numismatics,,"23 × 13.4 cm, 891 g (9 1/16 × 5 1/4 in.)",,,1,0,355873,1,0,,2018-11-06T04:29:42-0500,0,0,"Silver, partially gilded",355873,TL41957.7,,0,Achaemenid period,3247.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261100,,0,267001,0,,,,,,,Rhyton with the forepart of a griffin,1,26,23,https://www.harvardartmuseums.org/collections/object/355873,0,Unchecked. Object information has not been verified for completeness and has not been vetted
18,,,1,7th century,Vessels,57,0,,,0,,"British Museum, Bequest of Mrs. Walter Sedgwick, 1968,0422.21",Chinese,595,7th century CE,705,2018-07-23,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,8.6 × 10 cm (3 3/8 × 3 15/16 in.),,,1,0,355875,1,0,,2018-11-06T04:29:42-0500,0,0,Porcelain,355875,TL41957.9,,0,Sui to Tang dynasty,7411.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261102,,0,267003,0,,,,,,,Octagonal cup with the forepart of a lion,1,13,12,https://www.harvardartmuseums.org/collections/object/355875,0,Unchecked. Object information has not been verified for completeness and has not been vetted
19,,,1,20th century,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Fletcher Fund, 1972 (1972.4.63)",Cameroonian,1895,early 20th century,1955,2018-08-08,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,21 × 36.8 × 7.6 cm (8 1/4 × 14 1/2 × 3 in.),,,1,0,356324,1,0,,2018-11-06T04:29:46-0500,0,0,Buffalo horn and camwood powder,356324,TL41960.3,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267708,,0,267013,0,,,,,,,Ceremonial drinking horn,1,7,7,https://www.harvardartmuseums.org/collections/object/356324,0,Unchecked. Object information has not been verified for completeness and has not been vetted
20,,,1,6th-7th century,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Edward C. Moore Collection, Bequest of Edward C. Moore, 1891 (91.1.1407)",Langobardic,495,6th-7th century CE,705,2018-08-08,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,14.6 × 21 × 7 cm (5 3/4 × 8 1/4 × 2 3/4 in.),,,1,0,356327,1,0,,2018-11-06T04:29:46-0500,0,0,Light green glass with red and white decoration,356327,TL41960.6,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267711,,0,267016,0,,,,,,,Drinking horn,1,7,6,https://www.harvardartmuseums.org/collections/object/356327,0,Unchecked. Object information has not been verified for completeness and has not been vetted
21,,,1,5th century BCE,Vessels,57,0,,,0,,"Museum of Fine Arts, Boston. Francis Bartlett Donation of 1900",Greek,-485,c. 480 BCE,-475,2018-07-23,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,25.4 × 12 cm (10 × 4 3/4 in.),,,1,0,356334,1,0,,2018-11-06T04:29:46-0500,0,0,Terracotta,356334,TL41961.1,"[{'alphasort': 'Brygos Painter', 'birthplace': None, 'name': 'The Brygos Painter', 'prefix': None, 'personid': 35150, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': 'Greek', 'displaydate': 'active c. 490 BCE - c. 470 BCE', 'deathplace': None, 'displayname': 'The Brygos Painter'}]",1,"Classical period, Early",906.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267719,,0,267024,0,,,,,Red-figure,7317.0,Donkey head mug,1,37,29,https://www.harvardartmuseums.org/collections/object/356334,0,Unchecked. Object information has not been verified for completeness and has not been vetted
22,,,1,6th century BCE,Vessels,57,0,,,0,,"Museo Archeologico Nazionale di Orvieto, Polo Museale dell'Umbria",Etruscan,-560,550-530 BCE,-525,2018-08-20,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,16.6 × 20.1 × 10.7 cm (6 9/16 × 7 15/16 × 4 3/16 in.),,,1,0,356352,1,0,,2018-11-06T04:29:46-0500,0,0,"Terracotta, bucchero",356352,TL41964,,0,Archaic period,928.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267736,,0,267041,0,,,,,,,Beaker with the forepart of a winged ram,1,10,9,https://www.harvardartmuseums.org/collections/object/356352,0,Unchecked. Object information has not been verified for completeness and has not been vetted
23,,,1,6th century BCE,Vessels,57,0,,,0,,"Staatliche Museen zu Berlin, Antikensammlung",Greek,-580,575-550 BCE,-545,2018-08-07,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,19.2 × 25 × 11.9 cm (7 9/16 × 9 13/16 × 4 11/16 in.),,,1,0,356455,1,0,,2018-11-06T04:29:47-0500,0,0,Terracotta,356455,TL41965.1,,0,Archaic period,928.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267737,,0,267042,0,,,,,Black-figure,7318.0,Boar-shaped cup,1,13,12,https://www.harvardartmuseums.org/collections/object/356455,0,Unchecked. Object information has not been verified for completeness and has not been vetted
24,,,1,8th-7th century BCE,Vessels,57,0,,,0,,"Staatliche Museen zu Berlin, Vorderasiatisches Museum",Neo-Assyrian,-805,8th-7th century BCE,-595,2018-07-23,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,11.4 × 11.1 × 13.8 cm (4 1/2 × 4 3/8 × 5 7/16 in.),,,1,0,356459,1,0,,2018-11-06T04:29:47-0500,0,0,Terracotta,356459,TL41966,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267739,,0,267044,0,,,,,,,Fragmentary ram-headed beaker,1,7,7,https://www.harvardartmuseums.org/collections/object/356459,0,Unchecked. Object information has not been verified for completeness and has not been vetted
25,,,1,5th century BCE,Vessels,57,0,,,0,,"Museum of Fine Arts, Boston. Henry Lillie Pierce Fund",Greek,-465,c. 460 BCE,-455,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,23 × 23 cm (9 1/16 × 9 1/16 in.),,,1,0,357295,1,0,,2018-11-06T04:29:54-0500,0,0,Terracotta with polychrome and red-figure decoration,357295,TL41961.7,,0,Classical period,1419.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267725,,0,267030,0,,,,,Red-figure,7317.0,Vessel in the form of an African youth in the clutches of a crocodile,1,12,9,https://www.harvardartmuseums.org/collections/object/357295,0,Unchecked. Object information has not been verified for completeness and has not been vetted
26,,,1,6th century BCE,Vessels,57,0,,,0,,"Museum of Fine Arts, Boston. Henry Lillie Pierce Fund",Greek,-555,550-530 BCE,-525,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,17.3 cm (6 13/16 in.),,,1,0,359490,1,0,,2018-11-06T04:30:15-0500,0,0,Terracotta,359490,TL41961.10,,0,Archaic period,928.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267728,,0,267033,0,,,,,Black-figure,7318.0,Kantharos with the faces of mustachioed men,1,4,4,https://www.harvardartmuseums.org/collections/object/359490,0,Unchecked. Object information has not been verified for completeness and has not been vetted
27,,,1,5th century BCE,Vessels,57,0,,am_asianmediterranean@harvard.edu,0,,"British Museum, gr 1873,0820.272",Greek,-485,480-470 BCE,-465,2018-08-07,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,21.5 × 11.4 cm (8 7/16 × 4 1/2 in.),Asian and Mediterranean Art,,1,0,359493,1,0,,2018-11-06T04:30:15-0500,0,0,Terracotta,359493,TL41957.10,,0,"Classical period, Early",906.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267704,,0,267004,0,,,,,Red-figure,7317.0,Ram head mug depicting a symposium,1,30,25,https://www.harvardartmuseums.org/collections/object/359493,0,Unchecked. Object information has not been verified for completeness and has not been vetted
28,,,1,1st century BCE-1st century CE,Vessels,57,0,,,0,,"The Walters Art Museum, Baltimore, Maryland, 48.127",Roman,-105,1st century BCE-1st century CE,105,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,12 × 9 cm (4 3/4 × 3 9/16 in.),,,1,0,355857,1,0,,2018-11-06T04:29:41-0500,0,0,Terracotta with lead glaze,355857,TL41952.1,,0,Roman period,602.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261084,,0,266988,0,,,,,,,Rhyton with the forepart of a horse,1,6,6,https://www.harvardartmuseums.org/collections/object/355857,0,Unchecked. Object information has not been verified for completeness and has not been vetted
29,,,1,2nd century BCE,Vessels,57,0,,,0,,"Kunsthistorisches Museum Vienna, Antikensammlung",Hellenistic,-165,c. 160 BCE,-155,2018-08-20,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,"22 cm, 689 g (8 11/16 in.)",,,1,0,355862,1,0,,2018-11-06T04:29:41-0500,0,0,"Silver, partially gilded",355862,TL41955.2,,0,"Hellenistic period, Middle",772.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261089,,0,266993,0,,,,,,,Rhyton forepart in the form of a centaur,1,13,11,https://www.harvardartmuseums.org/collections/object/355862,0,Unchecked. Object information has not been verified for completeness and has not been vetted
30,,,1,14th-13th century BCE,Vessels,57,0,,,0,,"British Museum, Excavated by the British Museum, 1898,1201.142",Cypriot,-1405,14th-13th century BCE,-1195,2018-08-07,2018-11-05,Department of Ancient and Byzantine Art & Numismatics,,20.3 × 24 cm (8 × 9 7/16 in.),,,1,0,355867,1,0,,2018-11-06T04:29:41-0500,0,0,Painted terracotta,355867,TL41957.3,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG261094,,0,266997,0,,,,,,,Bull rhyton,1,13,12,https://www.harvardartmuseums.org/collections/object/355867,0,Unchecked. Object information has not been verified for completeness and has not been vetted
31,,,1,1st century BCE-1st century CE,Vessels,57,0,,,0,,"The J. Paul Getty Museum, Villa Collection, Malibu, California, 86.AM.753",Parthian,-105,1st century BCE-1st century CE,105,2018-08-07,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,"27.4 × 12.6 cm, 899.6 g (10 13/16 × 4 15/16 in.)",,,1,0,356321,1,0,,2018-11-06T04:29:46-0500,0,0,"Silver, partially gilded",356321,TL41959,,0,Parthian period,870.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267705,,0,267010,1,,,,,,,Rhyton with the forepart of a stag,1,12,11,https://www.harvardartmuseums.org/collections/object/356321,0,Unchecked. Object information has not been verified for completeness and has not been vetted
32,,,1,8th-7th century BCE,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, The Cesnola Collection, Purchased by subscription, 1874-76 (74.51.584)",Cypriot,-750,750-600 BCE,-600,2018-08-10,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,21 cm (8 1/4 in.),,,1,0,356322,1,0,,2018-11-06T04:29:46-0500,0,0,"Terracotta, Bichrome Ware",356322,TL41960.1,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267706,,0,267011,0,,,,,,,Trick vase with bull head spout,1,11,8,https://www.harvardartmuseums.org/collections/object/356322,0,Unchecked. Object information has not been verified for completeness and has not been vetted
33,,,1,6th century BCE,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Rogers Fund, 1918 (18.145.25)",Etruscan,-555,550-500 BCE,-545,2018-08-20,2018-11-02,Department of Ancient and Byzantine Art & Numismatics,,29.1 cm (11 7/16 in.),,,1,0,356325,1,0,,2018-11-06T04:29:46-0500,0,0,"Terracotta, bucchero",356325,TL41960.4,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267709,,0,267014,0,,,,,,,Pitcher in the form of a siren,1,15,9,https://www.harvardartmuseums.org/collections/object/356325,0,Unchecked. Object information has not been verified for completeness and has not been vetted
34,,,1,15th century,Vessels,57,0,,,0,,"Courtesy of The Metropolitan Museum of Art, Private Collection (L2015.77)",German,1436,1436,1436,2018-08-07,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,24.2 × 12.6 × 31.9 cm (9 1/2 × 4 15/16 × 12 9/16 in.),,,1,0,356331,1,0,,2018-11-06T04:29:46-0500,0,0,Bovine horn with gilden silver mounts,356331,TL41960.10,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267715,,0,267020,0,,,,,,,"Drinking horn (""griffin claw"")",1,14,10,https://www.harvardartmuseums.org/collections/object/356331,0,Unchecked. Object information has not been verified for completeness and has not been vetted
